"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Bord","Deck"
"Nein","3","male",22,1,0,7.25,"Southampton","Mr",,
"Ja","1","female",38,1,0,71.2833,"Cherbourg","Mrs","Steuerbord","C"
"Ja","3","female",26,0,0,7.925,"Southampton","Miss",,
"Ja","1","female",35,1,0,53.1,"Southampton","Mrs","Steuerbord","C"
"Nein","3","male",35,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",30,0,0,8.4583,"Queenstown","Mr",,
"Nein","1","male",54,0,0,51.8625,"Southampton","Mr","Backbord","E"
"Nein","3","male",2,3,1,21.075,"Southampton","Master",,
"Ja","3","female",27,0,2,11.1333,"Southampton","Mrs",,
"Ja","2","female",14,1,0,30.0708,"Cherbourg","Mrs",,
"Ja","3","female",4,1,1,16.7,"Southampton","Miss","Backbord","G"
"Ja","1","female",58,0,0,26.55,"Southampton","Miss","Steuerbord","C"
"Nein","3","male",20,0,0,8.05,"Southampton","Mr",,
"Nein","3","male",39,1,5,31.275,"Southampton","Mr",,
"Nein","3","female",14,0,0,7.8542,"Southampton","Miss",,
"Ja","2","female",55,0,0,16,"Southampton","Mrs",,
"Nein","3","male",2,4,1,29.125,"Queenstown","Master",,
"Ja","2","male",30,0,0,13,"Southampton","Mr",,
"Nein","3","female",31,1,0,18,"Southampton","Mrs",,
"Ja","3","female",35,0,0,7.225,"Cherbourg","Mrs",,
"Nein","2","male",35,0,0,26,"Southampton","Mr",,
"Ja","2","male",34,0,0,13,"Southampton","Mr","Backbord","D"
"Ja","3","female",15,0,0,8.0292,"Queenstown","Miss",,
"Ja","1","male",28,0,0,35.5,"Southampton","Mr","Backbord","A"
"Nein","3","female",8,3,1,21.075,"Southampton","Miss",,
"Ja","3","female",38,1,5,31.3875,"Southampton","Mrs",,
"Nein","3","male",30,0,0,7.225,"Cherbourg","Mr",,
"Nein","1","male",19,3,2,263,"Southampton","Mr","Steuerbord","C"
"Ja","3","female",21,0,0,7.8792,"Queenstown","Miss",,
"Nein","3","male",30,0,0,7.8958,"Southampton","Mr",,
